1 2 0 0
3 4 83 83
5 6 170 170
7 8 281 281
9 10 1236 1236
9 11 1290 1290
12 11 1529 1529
13 10 1541 1541
13 14 1564 1564
13 15 1588 1588
13 11 1628 1628
13 16 1728 1728
17 18 1818 1818
19 20 2303 2303
7 8 2461 2461
21 22 3101 3101
21 23 3612 3612
24 25 4156 4156
7 8 4201 4201
26 11 4263 4263
7 8 4561 4561
7 8 4841 4841
7 8 4988 4988
9 27 5071 5071
7 8 5127 5127
28 29 5204 5204
7 8 5486 5486
30 31 5850 5850
26 12 6296 6296
26 12 6452 6452
12 32 6834 6834
31 33 6983 6983
31 34 7071 7071
12 35 7201 7201
12 36 7377 7377
37 38 7438 7438
39 40 7557 7557
41 2 7672 7672
10 20 8013 8013
31 42 8151 8151
10 9 8220 8220
24 42 8353 8353
9 10 8420 8420
43 44 8477 8477
31 45 8883 8883
22 46 9114 9114
22 21 9567 9567
47 3 9604 9604
47 3 9681 9681
47 10 9828 9828
3 44 9880 9880
47 3 9921 9921
47 3 10059 10059
24 10 10070 10070
47 3 10257 10257
24 15 10281 10281
24 10 10315 10315
48 49 10538 10538
47 3 10575 10575
24 10 10630 10630
50 5 10727 10727
47 3 10821 10821
5 50 10870 10870
47 31 11093 11093
48 5 11095 11095
50 5 11209 11209
47 3 11227 11227
51 49 11309 11309
51 49 11315 11315
51 49 11318 11318
51 49 11321 11321
51 49 11324 11324
52 45 11353 11353
53 54 11583 11583
30 31 11589 11589
49 51 11647 11647
26 43 11654 11654
5 50 11714 11714
47 31 11817 11817
55 5 11931 11931
50 5 11955 11955
26 56 12027 12027
24 57 12050 12050
48 5 12104 12104
5 50 12143 12143
55 5 12194 12194
50 5 12303 12303
26 56 12559 12559
24 57 12722 12722
24 57 12905 12905
5 50 13057 13057
24 57 13197 13197
58 59 13349 13349
24 57 13445 13445
58 44 13515 13515
24 57 13708 13708
32 12 13819 13819
50 5 13972 13972
49 51 14041 14041
60 11 14155 14155
5 50 14157 14157
19 26 14368 14368
60 21 14416 14416
50 5 14428 14428
50 61 14506 14506
60 56 14646 14646
62 63 14656 14656
11 64 14821 14821
60 11 14837 14837
63 17 15133 15133
5 50 15334 15334
62 65 15396 15396
48 5 15449 15449
50 5 15542 15542
58 23 15606 15606
64 10 15612 15612
62 34 15706 15706
20 10 15762 15762
5 50 15772 15772
64 10 15880 15880
20 10 15881 15881
44 43 15950 15950
58 23 15979 15979
44 3 15984 15984
66 67 16016 16016
64 40 16119 16119
68 49 16211 16211
48 5 16217 16217
58 44 16294 16294
60 44 16312 16312
69 5 16314 16314
64 10 16376 16376
58 23 16456 16456
64 10 16498 16498
20 10 16587 16587
31 29 16711 16711
70 44 16746 16746
60 44 16750 16750
58 44 16799 16799
71 12 16939 16939
68 49 16995 16995
58 23 17074 17074
72 49 17133 17133
24 73 17167 17167
26 10 17228 17228
38 37 17300 17300
58 44 17384 17384
24 73 17389 17389
58 23 17413 17413
58 44 17562 17562
26 10 17602 17602
68 61 17609 17609
70 44 17671 17671
24 73 17739 17739
70 44 17891 17891
24 73 17911 17911
58 44 17915 17915
50 74 18047 18047
26 10 18074 18074
72 75 18175 18175
48 5 18283 18283
19 26 18423 18423
19 76 18456 18456
68 77 18464 18464
26 10 18480 18480
68 78 18484 18484
13 10 18532 18532
